DATE,Item ,"UNIT (box, sleeve, etc)",Quantity in store,,,Price purchased,Price sold,Supplier,Quantity in warehouse,
,Sweet and low ,,1,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,1,,,,,,,
,Splenda,Box,,,,,,,,
,White sugar bulk,,2,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,2.5,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,11,,,,,,,
,Cold 12-14 oz Cups,Sleeve,17,,,,,,,
,Cold Lids,Sleeve,8,,,,,,,
,Hot 12 oz Cups,sleeve,12,,,,,,,
,Hot 12-24oz Lids,sleeve,4,,,,,,,
,Hot 8oz Cups,sleeve,12,,,,,,,
,Hot 8oz Lids,Sleeve,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,6,,,,,,,
,San Pellegrino Cans,Cans,7,,,,,,,
,Fiji Small,Bottles,13,,,,,,,
,Fiji Large,individual,11,,,,,,,
,Lychee Soda,can,7,,,,,,,
,,,,,,,,,,
,Yuzu Ginger Soda,can,29,,,,,,,
,Hibiscus Rose Soda,can,6,,,,,,,
,Cucumber Soda,can,13,,,,,,,
,Gato Pistachios,,22,,,,,,,
,Gato Walnut,,9,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,13,,,,,,,
,Macaroon,individual,0,,,,,,,
,Chia parfait Berries,,,,,,,,,
,Chiamisu,,,,,,,,,
,Vegan strawberry vanilla chia ,,,,,,,,,
,Blue Mermaid protein bowl,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0,,,,,,,
,Chocolates ,,6,,,,,,,
,Manos,12oz,1,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,3,,,,,,,
,Cucumber,,6,,,,,,,
,Tomato,,8small 5large,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,0,,,,,,,
,Peanut Butter,64oz,1,,,,,,,
,Bread,Loaf,1.5,,,,,,,
,Lemon Juice,bottle,2,,,,,,,
,Hot sauce,,1,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,3,,,,,,,
,Gloves M,Box,3,,,,,,,
,Gloves Large,Box,2,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,2,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,4,,,,,,,
,Grindz,,5,,,,,,,
,Pink Sanitizer,,1.2,,,,,,,
,Thieves Solution,,0.1,,,,,,,
,Machine dish soap,,2,,,,,,,
,3 fold napkins,roll,10,,,,,,,
,Paper Towel,roll,15,,,,,,,
,Toilet Paper,roll,63,,,,,,,
,Toilet seat cover,box,5,,,,,,,
,Febreze,,OUT,,,,,,,
,Dawn Dishsoap,bottle,2,,,,,,,
,Trash Bags,,0,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,147,,,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,OUT,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,Sleeve,OUT,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,4,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,1,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,,1,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,1 bucket,,,,,,,
,Shanta,,1/2 bucket ,,,,,,,
,Manos,,.5 bag,,,,,,,
,Decaf,,OUT,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
5/20/25,MILKS,,,,,,,,,
,Whole Milk,,9,,,,,,,
,Low-Fat,,5,,,,,,,
,Half n Half,,4,,,,,,,
,Heavy Cream,,7,,,,,,,
,Oat,,79,,,,,,,
,Almond,,60,,,,,,,
,Lemonade,,1.5,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,3,,,,,,,
,Homemade Vanilla,bottle,14,,,,,,,
,Vanilla Creme,bottle,3,,,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,6,,,,,,,
,Pistachio,bottle,5,,,,,,,
,Vanilla ,bottle,3.5,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,2,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,4,,,,,,,
,,,,,,,,,,
,Dark chocolate syrup,,2,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1.5,,,,,,,
,Chai Masala,bottle,1,,,,,,,
,Turmeric Ginger,carton,12,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,0.5,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,1,,,,,,,
,"Chai, caffeine free",bag,1.5,,,,,,,
,Chamomint,bag,1.5,,,,,,,
,Crimson berry ,bag,1,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,0.5,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Sweet and low ,,1,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,1,,,,,,,
,Splenda,Box,,,,,,,,
,White sugar bulk,,2,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,2.5,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,8,,,,,,,
,Cold 12-14 oz Cups,Sleeve,15,,,,,,,
,Cold Lids,Sleeve,5,,,,,,,
,Hot 12 oz Cups,sleeve,7,,,,,,,
,Hot 12-24oz Lids,sleeve,4,,,,,,,
,Hot 8oz Cups,sleeve,9,,,,,,,
,Hot 8oz Lids,Sleeve,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,3,,,,,,,
,San Pellegrino Cans,Cans,7,,,,,,,
,Fiji Small,Bottles,13,,,,,,,
,Fiji Large,individual,8,,,,,,,
,Lychee Soda,can,7,,,,,,,
,,,,,,,,,,
,Yuzu Ginger Soda,can,29,,,,,,,
,Hibiscus Rose Soda,can,6,,,,,,,
,Cucumber Soda,can,13,,,,,,,
,Gato Pistachios,,22,,,,,,,
,Gato Walnut,,9,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,13,,,,,,,
,Macaroon,individual,0,,,,,,,
,Chia parfait Berries,,,,,,,,,
,Chiamisu,,,,,,,,,
,Vegan strawberry vanilla chia ,,,,,,,,,
,Blue Mermaid protein bowl,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0,,,,,,,
,Chocolates ,,6,,,,,,,
,Manos,12oz,1,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,3,,,,,,,
,Cucumber,,6,,,,,,,
,Tomato,,8small 5large,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,1.5,,,,,,,
,Peanut Butter,64oz,1,,,,,,,
,Bread,Loaf,1.5,,,,,,,
,Lemon Juice,bottle,2,,,,,,,
,Hot sauce,,1,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,3,,,,,,,
,Gloves M,Box,3,,,,,,,
,Gloves Large,Box,2,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,2,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,4,,,,,,,
,Grindz,,5,,,,,,,
,Pink Sanitizer,,1.2,,,,,,,
,Thieves Solution,,0.1,,,,,,,
,Machine dish soap,,2,,,,,,,
,3 fold napkins,roll,10,,,,,,,
,Paper Towel,roll,15,,,,,,,
,Toilet Paper,roll,63,,,,,,,
,Toilet seat cover,box,5,,,,,,,
,Febreze,,OUT,,,,,,,
,Dawn Dishsoap,bottle,2,,,,,,,
,Trash Bags,,0,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,147,,,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,OUT,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,Sleeve,OUT,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,4,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,1,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,,1,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,1 bucket,,,,,,,
,Shanta,,1/2 bucket ,,,,,,,
,Manos,,.5 bag,,,,,,,
,Decaf,,OUT,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
5/22/25,MILKS,,,,,,,,,
,Whole Milk,,12,,,,,,,
,Low-Fat,,8,,,,,,,
,Half n Half,,1,,,,,,,
,Heavy Cream,,8,,,,,,,
,Oat,,73,,,,,,,
,Almond,,72,,,,,,,
,Lemonade,,1/2,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,11,,,,,,,
,Vanilla Creme,bottle,2,,,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,5,,,,,,,
,Pistachio,bottle,5,,,,,,,
,Vanilla ,bottle,3.5,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,2,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,3,,,,,,,
,,,,,,,,,,
,Dark chocolate syrup,,2,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1.5,,,,,,,
,Chai Masala,bottle,0,,,,,,,
,Turmeric Ginger,carton,12,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,2,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,1,,,,,,,
,"Chai, caffeine free",bag,1.5,,,,,,,
,Chamomint,bag,1.5,,,,,,,
,Crimson berry ,bag,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,0,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Sweet and low ,,1,,,,,,,
,Stevia,Box,1.5,,,,,,,
,Raw Sugar,Box,1,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,2,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3.5,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,5,,,,,,,
,Cold 12-14 oz Cups,Sleeve,16,,,,,,,
,Cold Lids,Sleeve,3.5,,,,,,,
,Hot 12 oz Cups,sleeve,6,,,,,,,
,Hot 12-24oz Lids,sleeve,3,,,,,,,
,Hot 8oz Cups,sleeve,9,,,,,,,
,Hot 8oz Lids,Sleeve,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,2,,,,,,,
,San Pellegrino Cans,Cans,6,,,,,,,
,Fiji Small,Bottles,4,,,,,,,
,Fiji Large,individual,8,,,,,,,
,Lychee Soda,can,3,,,,,,,
,,,,,,,,,,
,Yuzu Ginger Soda,can,25,,,,,,,
,Hibiscus Rose Soda,can,7,,,,,,,
,Cucumber Soda,can,7,,,,,,,
,Gato Pistachios,,0,,,,,,,
,Gato Walnut,,9,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,13,,,,,,,
,Macaroon,individual,0,,,,,,,
,Chia parfait Berries,,,,,,,,,
,Chiamisu,,,,,,,,,
,Vegan strawberry vanilla chia ,,,,,,,,,
,Blue Mermaid protein bowl,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0,,,,,,,
,Chocolates ,,0,,,,,,,
,Manos,12oz,0,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,3,,,,,,,
,Cucumber,,0,,,,,,,
,Tomato,,9small 2large,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,1.5,,,,,,,
,Peanut Butter,64oz,1,,,,,,,
,Bread,Loaf,1,,,,,,,
,Lemon Juice,bottle,1,,,,,,,
,Hot sauce,,1,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,3,,,,,,,
,Gloves M,Box,3,,,,,,,
,Gloves Large,Box,2,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,2,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,4,,,,,,,
,Grindz,,5,,,,,,,
,Pink Sanitizer,,1.2,,,,,,,
,Thieves Solution,,0.1,,,,,,,
,Machine dish soap,,2,,,,,,,
,3 fold napkins,roll,10,,,,,,,
,Paper Towel,roll,15,,,,,,,
,Toilet Paper,roll,63,,,,,,,
,Toilet seat cover,box,5,,,,,,,
,Febreze,,OUT,,,,,,,
,Dawn Dishsoap,bottle,2,,,,,,,
,Trash Bags,,0,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,147,,,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,OUT,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,Sleeve,OUT,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,4,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,1,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,,1,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,2/3 bucket,,,,,,,
,Shanta,,1/4 bucket ,,,,,,,
,Manos,,.5 bag,,,,,,,
,Decaf,,OUT,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
5/23/25,MILKS,,,,,,,,,
,Whole Milk,,12,,,,,,,
,Low-Fat,,8,,,,,,,
,Half n Half,,1,,,,,,,
,Heavy Cream,,8,,,,,,,
,Oat,,109,,,,,,,
,Almond,,72,,,,,,,
,Lemonade,,2.5,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,11,,,,,,,
,Vanilla Creme,bottle,2,,,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,5,,,,,,,
,Pistachio,bottle,5.5,,,,,,,
,Vanilla ,bottle,3.5,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,2.5,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,3,,,,,,,
,,,,,,,,,,
,Dark chocolate syrup,,2,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,,,,,,
,Chai Masala,bottle,0,,,,,,,
,Turmeric Ginger,carton,11,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,2,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,1,,,,,,,
,"Chai, caffeine free",bag,1.5,,,,,,,
,Chamomint,bag,1.5,,,,,,,
,Crimson berry ,bag,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,0,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Sweet and low ,,1,,,,,,,
,Stevia,Box,3,,,,,,,
,Raw Sugar,Box,1,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,2,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3.5,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,3,,,,,,,
,Cold 12-14 oz Cups,Sleeve,16,,,,,,,
,Cold Lids,Sleeve,2.5,,,,,,,
,Hot 12 oz Cups,sleeve,6,,,,,,,
,Hot 12-24oz Lids,sleeve,3,,,,,,,
,Hot 8oz Cups,sleeve,9,,,,,,,
,Hot 8oz Lids,Sleeve,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,1,,,,,,,
,San Pellegrino Cans,Cans,2,,,,,,,
,Fiji Small,Bottles,3,,,,,,,
,Fiji Large,individual,7,,,,,,,
,Lychee Soda,can,3,,,,,,,
,,,,,,,,,,
,Yuzu Ginger Soda,can,25,,,,,,,
,Hibiscus Rose Soda,can,7,,,,,,,
,Cucumber Soda,can,7,,,,,,,
,Gato Pistachios,,2,,,,,,,
,Gato Walnut,,6,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,13,,,,,,,
,Macaroon,individual,0,,,,,,,
,Chia parfait Berries,,,,,,,,,
,Chiamisu,,,,,,,,,
,Vegan strawberry vanilla chia ,,,,,,,,,
,Blue Mermaid protein bowl,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0,,,,,,,
,Chocolates ,,0,,,,,,,
,Manos,12oz,0,,,,,,,
,dubai chocolate,bars,6,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,2,,,,,,,
,Cucumber,,0,,,,,,,
,Tomato,,9small 2large,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,0.5,,,,,,,
,Blueberries,,1.5,,,,,,,
,Peanut Butter,64oz,0.5,,,,,,,
,Bread,Loaf,1,,,,,,,
,Lemon Juice,bottle,1,,,,,,,
,Hot sauce,,0.5,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,2,,,,,,,
,Gloves M,Box,2,,,,,,,
,Gloves Large,Box,4,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,1,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,container,1,,,,,,,
,Grindz,,4,,,,,,,
,Pink Sanitizer,,1.2,,,,,,,
,Thieves Solution,,1,,,,,,,
,Machine dish soap,,2,,,,,,,
,3 fold napkins,roll,10,,,,,,,
,Paper Towel,roll,10,,,,,,,
,Toilet Paper,roll,19,,,,,,,
,Toilet seat cover,box,1,,,,,,,
,Febreze,,10,,,,,,,
,Dawn Dishsoap,bottle,2,,,,,,,
,Trash Bags,box,2,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,150,,,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,2,,,,,,,
,Cup Carriers,bag,1 box,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,Sleeve,1,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,5,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,2,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,,1,,,,,,,
,latex gloves (s/m),box,8,,,,,,,
,Beans,,,,,,,,,
,Limmu,,1/3 bucket,,,,,,,
,Shanta,,1/4 bucket ,,,,,,,
,Manos,,.5 bag,,,,,,,
,Decaf,,OUT,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
,,,,,,,,,,
5/24/25,MILKS,,,,,,,,,
,Whole Milk,,8,,,,,,,
,Low-Fat,,7,,,,,,,
,Half n Half,,OUT,,,,,,,
,Heavy Cream,,7,,,,,,,
,Oat,,94,,,,,,,
,Almond,,62,,,,,,,
,Lemonade,,2,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,11,,,,,,,
,Vanilla Creme,bottle,2,,,,,,,
,Caramel,bottle,4,,,,,,,
,Strawberry,bottle,5,,,,,,,
,Pistachio,bottle,5.5,,,,,,,
,Vanilla ,bottle,3.5,,,,,,,
,Sugar Free Vanilla,bottle,3,,,,,,,
,Honey,Bottle,2.5,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,,
,Rose,bottle,3,,,,,,,
,,,,,,,,,,
,Dark chocolate syrup,,2,,,,,,,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1,,,,,,,
,Chai Masala,bottle,0,,,,,,,
,Turmeric Ginger,carton,9,,,,,,,
,English Breakfast,bag,1.5,,,,,,,
,Earl Grey,bag,OUT,,,,,,,
,Pineapple Papaya,bag,2,,,,,,,
,Moroccan Mint,bag,1,,,,,,,
,Jasmine,bag,1,,,,,,,
,"Chai, caffeine free",bag,1.5,,,,,,,
,Chamomint,bag,1,,,,,,,
,Crimson berry ,bag,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1,,,,,,,
,Raisins,bags,1.5,,,,,,,
,Walnuts,Bags,0,,,,,,,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Sweet and low ,,1,,,,,,,
,Stevia,Box,3,,,,,,,
,Raw Sugar,Box,1,,,,,,,
,Splenda,Box,1.5,,,,,,,
,White sugar bulk,,2,,,,,,,
,White sugar packets,Box,2,,,,,,,
,Greek seasoning,bottle,3.5,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,sleeve,OUT,,,,,,,
,Cold 12-14 oz Cups,Sleeve,14,,,,,,,
,Cold Lids,Sleeve,1,,,,,,,
,Hot 12 oz Cups,sleeve,5,,,,,,,
,Hot 12-24oz Lids,sleeve,2,,,,,,,
,Hot 8oz Cups,sleeve,9,,,,,,,
,Hot 8oz Lids,Sleeve,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,OUT,,,,,,,
,San Pellegrino Cans,Cans,2,,,,,,,
,Fiji Small,Bottles,2,,,,,,,
,Fiji Large,individual,6,,,,,,,
,Lychee Soda,can,1,,,,,,,
,,,,,,,,,,
,Yuzu Ginger Soda,can,23,,,,,,,
,Hibiscus Rose Soda,can,7,,,,,,,
,Cucumber Soda,can,7,,,,,,,
,Gato Pistachios,,2,,,,,,,
,Gato Walnut,,6,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,13,,,,,,,
,Macaroon,individual,0,,,,,,,
,Chia parfait Berries,,,,,,,,,
,Chiamisu,,,,,,,,,
,Vegan strawberry vanilla chia ,,,,,,,,,
,Blue Mermaid protein bowl,,,,,,,,,
,Limmu,12 oz,0,,,,,,,
,Matcha,bags,0,,,,,,,
,Chocolates ,,0,,,,,,,
,Manos,12oz,0,,,,,,,
,dubai chocolate,bars,6,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,2,,,,,,,
,Cucumber,,9,,,,,,,
,Tomato,,9small 2large,,,,,,,
,,,,,,,,,,
,Olive Oil,16oz,1.5,,,,,,,
,Blueberries,,2,,,,,,,
,Peanut Butter,64oz,1.5,,,,,,,
,Bread,Loaf,1,,,,,,,
,Lemon Juice,bottle,1,,,,,,,
,Hot sauce,,1.5,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Drip Filters,Bag,2,,,,,,,
,Gloves M,Box,2,,,,,,,
,Gloves Large,Box,4,,,,,,,
,Handsoap,Gallon,4,,,,,,,
,Bleach,Gallon,1,,,,,,,
,fabric clean,,1.5,,,,,,,
,Degreaser,,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,container,1,,,,,,,
,Grindz,,3,,,,,,,
,Pink Sanitizer,,1,,,,,,,
,Thieves Solution,,1,,,,,,,
,Machine dish soap,,2,,,,,,,
,3 fold napkins,roll,10,,,,,,,
,Paper Towel,roll,10,,,,,,,
,Toilet Paper,roll,22+,,,,,,,
,Toilet seat cover,box,1,,,,,,,
,Febreze,,10,,,,,,,
,Dawn Dishsoap,bottle,2,,,,,,,
,Trash Bags,box,2,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,150,,,,,,,
,Towels ,,FULL,,,,,,,
,Cup Sleeves,Box,1.5,,,,,,,
,Cup Carriers,bag,1 box,,,,,,,
,Pastry Bag,Box/individual,1 box,,,,,,,
,To-Go Box,Sleeve,1,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,1,,,,,,,
,Stickers,roll,5,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,Plastic forks,Box,2,,,,,,,
,plastic spoons,box,1,,,,,,,
,Plastic knives,,1,,,,,,,
,latex gloves (s/m),box,8,,,,,,,
,Beans,,,,,,,,,
,Limmu,,1/4 bucket,,,,,,,
,Shanta,,11/4 buckets,,,,,,,
,Manos,,.5 bag,,,,,,,
,Decaf,,OUT,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
5/25/25,MILKS,,,,,,,,,
,Whole Milk,,5,,,,,,,
,Low-Fat,,6,,,,,,,
,Half n Half,,OUT,,x,,,,,
,Heavy Cream,,6,,,,,,,
,Oat,,85,,,,,,,
,Almond,,60,,,,,,,
,Lemonade,,2,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,,
,Homemade Vanilla,bottle,11,,,,,,,
,Vanilla Creme,bottle,1,,,,,,,
